,student_id,age,gender,country,grade,uses_ai_for_study,uses_chatgpt,uses_gemini,uses_grammarly,uses_quillbot,uses_notion_ai,uses_phind,uses_edu_chat,uses_other,usefulness_chatgpt,usefulness_gemini,usefulness_grammarly,usefulness_quillbot,usefulness_notion_ai,usefulness_phind,usefulness_edu_chat,usefulness_other,Total_Tools_Used
count,500,500.0,500,500,500,500,500,500,500,500,500,500,500,500,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
unique,500,,3,10,4,2,2,2,2,2,2,2,2,2,,,,,,,,,
top,S0001,,Male,UK,10th,True,False,False,False,False,False,False,False,False,,,,,,,,,
freq,1,,231,61,131,386,385,377,378,378,386,373,395,400,,,,,,,,,
mean,,15.97,,,,,,,,,,,,,1.872,1.964,1.954,1.97,1.87,1.996,1.704,1.592,2.628
std,,1.425891416856603,,,,,,,,,,,,,3.4859603898609284,3.511604581023742,3.5220297254244675,3.536964834498777,3.507949746339832,3.498637581953826,3.376861024792333,3.2500248187737415,1.8309343629094312
min,,14.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,15.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,,16.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
75%,,17.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0
max,,18.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0
